ac,eng,mass,distance,fuel
e195,CFM56-5A3,47760,1315,3190
e195,CFM56-5A3,47760,1594,3860
e195,CFM56-5A3,47760,1873,4510
e195,CFM56-5A3,47760,2152,5160
e195,CFM56-5A3,47760,2431,5810
e195,CFM56-5A3,47760,2710,6430
e195,CFM56-5A3,48600,1594,3880
e195,CFM56-5A3,48600,1873,4550
e195,CFM56-5A3,48600,2152,5190
e195,CFM56-5A3,48600,2431,5830
e195,CFM56-5A3,48600,2710,6480
e195,CFM56-5A3,49440,2152,5230
e195,CFM56-5A3,49440,2431,5860
e195,CFM56-5A3,49440,2710,6500
e195,CFM56-5A3,50280,2431,5900
e195,CFM56-5A3,50280,2710,6540
e195,CFM56-5B4,34300,200,470
e195,CFM56-5B4,34300,478,1040
e195,CFM56-5B4,34300,757,1580
e195,CFM56-5B4,34300,1036,2130
e195,CFM56-5B4,34300,1315,2680
e195,CFM56-5B4,34300,1594,3220
e195,CFM56-5B4,34300,1873,3760
e195,CFM56-5B4,34300,2152,4300
e195,CFM56-5B4,34300,2431,4840
e195,CFM56-5B4,34300,2710,5380
e195,CFM56-5B4,35140,200,470
e195,CFM56-5B4,35140,757,1590
e195,CFM56-5B4,35140,1036,2140
e195,CFM56-5B4,35140,1315,2700
e195,CFM56-5B4,35140,1594,3240
e195,CFM56-5B4,35140,1873,3790
e195,CFM56-5B4,35140,2152,4330
e195,CFM56-5B4,35140,2431,4870
e195,CFM56-5B4,35140,2710,5420
e195,CFM56-5B4,35980,200,470
e195,CFM56-5B4,35980,478,1050
e195,CFM56-5B4,35980,757,1600
e195,CFM56-5B4,35980,1036,2160
e195,CFM56-5B4,35980,1315,2720
e195,CFM56-5B4,35980,1594,3270
e195,CFM56-5B4,35980,1873,3820
e195,CFM56-5B4,35980,2152,4360
e195,CFM56-5B4,35980,2431,4910
e195,CFM56-5B4,35980,2710,5460
e195,CFM56-5B4,36820,200,480
e195,CFM56-5B4,36820,478,1060
e195,CFM56-5B4,36820,757,1620
e195,CFM56-5B4,36820,1036,2180
e195,CFM56-5B4,36820,1315,2740
e195,CFM56-5B4,36820,1594,3290
e195,CFM56-5B4,36820,1873,3850
e195,CFM56-5B4,36820,2152,4400
e195,CFM56-5B4,36820,2431,4950
e195,CFM56-5B4,36820,2710,5510
e195,CFM56-5B4,37660,200,480
e195,CFM56-5B4,37660,478,1060
e195,CFM56-5B4,37660,757,1630
e195,CFM56-5B4,37660,1036,2190
e195,CFM56-5B4,37660,1315,2760
e195,CFM56-5B4,37660,1594,3320
e195,CFM56-5B4,37660,1873,3880
e195,CFM56-5B4,37660,2152,4440
e195,CFM56-5B4,37660,2431,4990
e195,CFM56-5B4,37660,2710,5560
e195,CFM56-5B4,38510,200,480
e195,CFM56-5B4,38510,478,1070
e195,CFM56-5B4,38510,757,1640
e195,CFM56-5B4,38510,1036,2210
