ac,eng,mass,distance,fuel
a21n,CFM56-5B6,63790,2045,5610
a21n,CFM56-5B6,63790,2506,6860
a21n,CFM56-5B6,63790,2968,8040
a21n,CFM56-5B6,63790,3429,9210
a21n,CFM56-5B6,63790,3890,10390
a21n,CFM56-5B6,63790,4352,11610
a21n,CFM56-5B6,65690,1122,3150
a21n,CFM56-5B6,65690,1584,4420
a21n,CFM56-5B6,65690,2045,5700
a21n,CFM56-5B6,65690,2506,6930
a21n,CFM56-5B6,65690,2968,8140
a21n,CFM56-5B6,65690,3429,9330
a21n,CFM56-5B6,65690,3890,10520
a21n,CFM56-5B6,65690,4352,11840
a21n,CFM56-5B6,67590,1122,3200
a21n,CFM56-5B6,67590,1584,4500
a21n,CFM56-5B6,67590,2045,5790
a21n,CFM56-5B6,67590,2506,7010
a21n,CFM56-5B6,67590,2968,8220
a21n,CFM56-5B6,67590,3429,9430
a21n,CFM56-5B6,67590,3890,10680
a21n,CFM56-5B6,67590,4352,12090
a21n,CFM56-5B6,69480,1122,3260
a21n,CFM56-5B6,69480,1584,4570
a21n,CFM56-5B6,69480,2045,5860
a21n,CFM56-5B6,69480,2506,7080
a21n,CFM56-5B6,69480,2968,8310
a21n,CFM56-5B6,69480,3429,9530
a21n,CFM56-5B6,69480,3890,10840
a21n,CFM56-5B6,69480,4352,12260
a21n,CFM56-5B6,71380,1122,3310
a21n,CFM56-5B6,71380,1584,4630
a21n,CFM56-5B6,71380,2045,5920
a21n,CFM56-5B6,71380,2506,7160
a21n,CFM56-5B6,71380,2968,8400
a21n,CFM56-5B6,71380,3429,9630
a21n,CFM56-5B6,71380,3890,11020
a21n,CFM56-5B6,71380,4352,12480
a21n,CFM56-5B6,73270,1584,4690
a21n,CFM56-5B6,73270,2045,5990
a21n,CFM56-5B6,73270,2506,7230
a21n,CFM56-5B6,73270,2968,8490
a21n,CFM56-5B6,73270,3429,9750
a21n,CFM56-5B6,73270,3890,11200
a21n,CFM56-5B6,73270,4352,12710
a21n,CFM56-5B6,75170,1122,3380
a21n,CFM56-5B6,75170,1584,4740
a21n,CFM56-5B6,75170,2045,6050
a21n,CFM56-5B6,75170,2506,7310
a21n,CFM56-5B6,75170,2968,8570
a21n,CFM56-5B6,75170,3429,9900
a21n,CFM56-5B6,75170,3890,11400
a21n,CFM56-5B6,75170,4352,12950
a21n,CFM56-5B6,77070,1584,4800
a21n,CFM56-5B6,77070,2045,6110
a21n,CFM56-5B6,77070,2506,7380
a21n,CFM56-5B6,77070,2968,8660
a21n,CFM56-5B6,77070,3429,10050
a21n,CFM56-5B6,77070,3890,11600
a21n,CFM56-5B6,77070,4352,13200
a21n,CFM56-5B6,78960,1584,4860
a21n,CFM56-5B6,78960,2045,6170
a21n,CFM56-5B6,78960,2506,7460
a21n,CFM56-5B6,78960,2968,8740
a21n,CFM56-5B6,78960,3429,10210
a21n,CFM56-5B6,78960,3890,11800
a21n,CFM56-5B6,78960,4352,13460
a21n,CFM56-5B6,80860,1584,4920
a21n,CFM56-5B6,80860,2045,6240
a21n,CFM56-5B6,80860,2506,7530
a21n,CFM56-5B6,80860,2968,8830
a21n,CFM56-5B6,80860,3429,10380
a21n,CFM56-5B6,80860,3890,12020
a21n,CFM56-5B6,80860,4352,13680
a21n,CFM56-5B6,82760,2045,6300
a21n,CFM56-5B6,82760,2506,7610
a21n,CFM56-5B6,82760,2968,8940
a21n,CFM56-5B6,82760,3429,10550
a21n,CFM56-5B6,82760,3890,12240
a21n,CFM56-5B6,82760,4352,13900
a21n,CFM56-5B6,84650,2506,7680
a21n,CFM56-5B6,84650,2968,9080
a21n,CFM56-5B6,84650,3429,10720
a21n,CFM56-5B6,84650,3890,12440
a21n,CFM56-5B6,84650,4352,14130
a21n,CFM56-5B6,86550,2968,9250
